"Len","P31","P50","P356","P1476","P1433","P577"
"Total utility of Z-number","Q13442814","Rehan Sadiq","10.1007/s10489-017-1001-5","Total utility of Z-number","Applied Intelligence","2017-07-26"
"Toxaphene distribution in the Lake Superior trout and associated sublethal ecological risk: a probabilistic approach","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00008-2","Toxaphene distribution in the Lake Superior trout and associated sublethal ecological risk: a probabilistic approach","Environmental Modelling & Software","2003-04-30"
"Translation of pipe inspection results into condition ratings using the fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.2166/aqua.2005.069","Translation of pipe inspection results into condition ratings using the fuzzy synthetic evaluation technique","Journal of Water Supply: Research and Technology - Aqua","2015-12-15"
"Treatment, residual chlorine and season as factors affecting variability of trihalomethanes in small drinking water systems","Q13442814","Rehan Sadiq","10.1007/s11783-014-0750-1","Treatment, residual chlorine and season as factors affecting variability of trihalomethanes in small drinking water systems","Frontiers of Environmental Science & Engineering","2014-07-31"
"Trihalomethane exposures in indoor swimming pools: a level III fugacity model","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.07.005","Trihalomethane exposures in indoor swimming pools: a level III fugacity model","Water Research","2011-07-21"
"Uncertainty quantification and integration of machine learning techniques for predicting acid rock drainage chemistry: A probability bounds approach","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.04.125","Uncertainty quantification and integration of machine learning techniques for predicting acid rock drainage chemistry: A probability bounds approach","Science of The Total Environment","2014-05-21"
"Uncertainty-driven characterization of climate change effects on drought frequency using enhanced SPI","Q13442814","Rehan Sadiq","10.1007/s11269-013-0467-0","Uncertainty-driven characterization of climate change effects on drought frequency using enhanced SPI","Water Resources Management","2013-11-15"
"Unfolding ‘big’ problems of small water system performance: a qualitative study in British Columbia","Q13442814","Rehan Sadiq","10.1080/07011784.2020.1800517","Unfolding ‘big’ problems of small water system performance: a qualitative study in British Columbia","Canadian Water Resources Journal / Revue canadienne des ressources hydriques","2020-08-19"
"Unregulated disinfection By-products in drinking water in Quebec: a meta analysis","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2018.06.082","Unregulated disinfection By-products in drinking water in Quebec: a meta analysis","Journal of Environmental Management","2018-07-14"
"Urban Transformation Toward a Smart City: An E-Commerce–Induced Path-Dependent Analysis","Q13442814","Rehan Sadiq","10.1061/(asce)up.1943-5444.0000648","Urban Transformation Toward a Smart City: An E-Commerce–Induced Path-Dependent Analysis","Journal of Urban Planning and Development","2020-12-14"
"Urban cohesion vis-à-vis organic spatialization of “Third places” in Saudi Arabia: The need for an alternative planning praxis","Q13442814","Rehan Sadiq","10.1016/j.habitatint.2020.102258","Urban cohesion vis-à-vis organic spatialization of “Third places” in Saudi Arabia: The need for an alternative planning praxis","Habitat International","2020-10-17"
"Using penalty functions to evaluate aggregation models for environmental indices","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2009.09.034","Using penalty functions to evaluate aggregation models for environmental indices","Journal of Environmental Management","2009-10-25"
"Wastewater Reuse Risk Assessment, Decision Making And Environmental Security","Q13442814","Rehan Sadiq","10.1007/978-1-4020-6027-4_20","Wastewater Reuse Risk Assessment, Decision Making And Environmental Security","Wastewater Reuse–Risk Assessment, Decision-Making and Environmental Security","2007-05-23"
"Water distribution system failure: a framework for forensic analysis","Q13442814","Rehan Sadiq","10.1007/s10669-013-9464-3","Water distribution system failure: a framework for forensic analysis","Environment Systems and Decisions","2013-07-30"
"Water mains renewal planning framework for small to medium sized water utilities: a life cycle cost analysis approach","Q13442814","Rehan Sadiq","10.1080/1573062x.2016.1223321","Water mains renewal planning framework for small to medium sized water utilities: a life cycle cost analysis approach","Urban Water Journal","2016-09-10"
"Water mains’ prioritisation for small to medium-sized utilities of Canada","Q13442814","Rehan Sadiq","10.1680/jinam.17.00037","Water mains’ prioritisation for small to medium-sized utilities of Canada","Infrastructure Asset Management","2019-02-13"
"Water quality failures in distribution networks—risk analysis using fuzzy logic and evidential reasoning","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2007.00972.x","Water quality failures in distribution networks—risk analysis using fuzzy logic and evidential reasoning","Risk Analysis","2010-08-18"
"Water quality – water main renewal planner (Q-WARP): development and application","Q13442814","Rehan Sadiq","10.2166/aqua.2014.079","Water quality – water main renewal planner (Q-WARP): development and application","Journal of Water Supply: Research and Technology-Aqua","2014-09-08"
"Water use in unconventional oil and gas development: an assessment on water use metric evaluation and selection","Q13442814","Rehan Sadiq","10.1007/s10098-017-1431-0","Water use in unconventional oil and gas development: an assessment on water use metric evaluation and selection","Clean Technologies and Environmental Policy","2017-10-13"
"Water–Energy–Carbon Nexus Modeling for Urban Water Systems: System Dynamics Approach","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000765","Water–Energy–Carbon Nexus Modeling for Urban Water Systems: System Dynamics Approach","Journal of Water Resources Planning and Management","2017-02-21"
"Water–energy nexus for water distribution systems: a literature review","Q13442814","Rehan Sadiq","10.1139/er-2018-0106","Water–energy nexus for water distribution systems: a literature review","Environmental Reviews","2019-03-12"
"‘Socializing’sustainability: a critical review on current development status of social life cycle impact assessment method","Q13442814","Rehan Sadiq","10.1007/s10098-014-0841-5","‘Socializing’sustainability: a critical review on current development status of social life cycle impact assessment method","Clean Technologies and Environmental Policy","2014-08-23"
