"Len","P31","P50","P356","P1476","P1433","P577"
"Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Q13442814","Valentina Radić","10.3390/w11040776","Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Water","2019-04-15"
"Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","Q13442814","Rehan Sadiq","10.1007/s10098-015-0959-0","Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","Clean Technologies and Environmental Policy","2015-04-27"
"Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream","Q13442814","Marwan Hassan","10.1139/cjfas-2017-0170","Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream","Canadian Journal of Fisheries and Aquatic Sciences","2018-01-18"
"Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles","Q13442814","Marwan Hassan","10.1029/2010wr009800","Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles","Water Resources Research","2011-05-06"
"Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system","Q13442814","Mark Johnson","10.1002/2017jg003797","Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system","Journal of Geophysical Research: Biogeosciences","2017-07-15"
"Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2010.10.056","Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","Journal of Environmental Management","2010-11-20"
"Special Issue"""" Water Governance: Retheorizing Politics","Q13442814","Leila M. Harris","10.3390/books978-3-03921-561-4","Special Issue"""" Water Governance: Retheorizing Politics","MDPI","2019-11-07"
"Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift","Q13442814","Q56794616","10.1111/fwb.12871","Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift","Freshwater Biology","2016-11-24"
"Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Q13442814","Mark Johnson","10.1002/essoar.95a79bd46e3a0342.6bebb835b5a94839.1","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Wiley","2019-11-13"
"Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest","Q13442814","Q56794616","10.1111/j.1365-2656.2007.01240.x","Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest","Journal of Animal Ecology","2007-05-19"
"Stable strategies analysis based on the utility of Z-number in the evolutionary games","Q13442814","Rehan Sadiq","10.1016/j.amc.2017.12.006","Stable strategies analysis based on the utility of Z-number in the evolutionary games","Applied Mathematics and Computation","2017-12-27"
"Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences","Q13442814","Q56794616","10.1899/12-078.1","Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences","Freshwater Science","2013-01-28"
"Standardizing electrocoagulation reactor design: iron electrodes for NOM removal","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2012.11.075","Standardizing electrocoagulation reactor design: iron electrodes for NOM removal","Chemosphere","2013-01-03"
"State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","Q13442814","Leila M. Harris","10.1215/1089201x-1545345","State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","Comparative Studies of South Asia, Africa and the Middle East","2012-04-11"
"State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2019.01.074","State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","Journal of Environmental Management","2019-01-30"
"States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","Q13442814","Leila M. Harris","10.4000/ejts.4122","States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","European journal of Turkish studies","2020-02-15"
"Statistical charactersitics of fluvial displacements of individual particles","Q13442814","Marwan Hassan","10.1007/bf01083484","Statistical charactersitics of fluvial displacements of individual particles","Radiophysics and Quantum Electronics","2005-02-05"
"Statistical significance testing of parallel pilot-scale coagulation optimization study to compare aluminum sulfate and polyaluminum chloride performance","Q13442814","Nicolas Peleato","10.2166/aqua.2014.158","Statistical significance testing of parallel pilot-scale coagulation optimization study to compare aluminum sulfate and polyaluminum chloride performance","Journal of Water Supply: Research and Technology-Aqua","2014-11-06"
"Step-pool channel features","Q13442814","Marwan Hassan","10.1016/b978-0-12-818234-5.00004-3","Step-pool channel features","Reference Module in Earth Systems and Environmental Sciences","2020-12-03"
"Step‐pool stability: Testing the jammed state hypothesis","Q13442814","Marwan Hassan","10.1029/2009jf001365","Step‐pool stability: Testing the jammed state hypothesis","Journal of Geophysical Research: Earth Surface","2010-04-16"
"Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation","Q13442814","Mark Johnson","10.1029/2007wr006359","Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation","Water Resources Research","2007-11-14"
"Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Q13442814","Mark Johnson","10.1175/2012ei000439.1","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Earth Interactions","2012-08-10"
"Stream Ecology","Q13442814","Q56794616","10.1201/9781420031676-11","Stream Ecology","Stream Ecology and Self Purification","2020-12-22"
"Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm","Q13442814","Q56794616","10.1002/etc.5620111102","Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm","Environmental Toxicology and Chemistry","2010-03-16"
"Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient","Q13442814","Mark Johnson","10.1007/s10705-013-9554-0","Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient","Nutrient Cycling in Agroecosystems","2013-01-30"
"Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia","Q13442814","Mark Johnson","10.3390/w11020390","Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia","Water","2019-02-25"
"Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown","Q13442814","Q56794616","10.1111/fwb.13367","Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown","Freshwater Biology","2019-07-19"
"Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer","Q13442814","Pierre Bérubé","10.11120/ened.2007.02010002","Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer","Engineering Education","2013-04-10"
"Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater","Q13442814","Pierre Bérubé","10.2175/193864710798182060","Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater","Proceedings of the Water Environment Federation","2012-09-27"
"Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream","Q13442814","Mark Johnson","10.3390/s120403798","Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream","Sensors","2012-03-24"
"Subsea release of oil from a riser: An ecological risk assessment","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2008.01136.x","Subsea release of oil from a riser: An ecological risk assessment","Risk Analysis","2008-09-20"
"Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting.","Q13442814","Mark Johnson","10.5194/bg-14-2799-2017","Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting.","Biogeosciences","2017-06-08"
"Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Q13442814","Valentina Radić","10.3389/feart.2017.00067","Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Frontiers in Earth Science","2017-09-01"
"Surface shear stress and membrane fouling when considering natural water matrices","Q13442814","Pierre Bérubé","10.1016/j.desal.2013.09.018","Surface shear stress and membrane fouling when considering natural water matrices","Desalination","2013-10-13"
"Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.seppur.2013.11.003","Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment","Separation and Purification Technology","2013-11-15"
"Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985","Q13442814","Marwan Hassan","10.1002/hyp.7996","Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985","Hydrological Processes","2011-01-19"
"Suspended sediment dynamics at high and low flows in an agricultural watershed","Q13442814","Marwan Hassan","10.1002/hyp.6743","Suspended sediment dynamics at high and low flows in an agricultural watershed","Hydrological Processes","2007-09-17"
"Sustainability as it pertains to minerals and energy supply and demand: a new interpretative perspective for assessing progress","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.09.008","Sustainability as it pertains to minerals and energy supply and demand: a new interpretative perspective for assessing progress","Journal of Cleaner Production","2014-09-16"
"Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","Q13442814","Rehan Sadiq","10.1007/s10098-016-1168-1","Sustainability assessment framework for low rise commercial buildings: life cycle impact index-based approach","Clean Technologies and Environmental Policy","2016-03-29"
"Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","Q13442814","Rehan Sadiq","10.1016/j.scs.2017.09.031","Sustainability assessment framework for small-sized urban neighbourhoods: An application of fuzzy synthetic evaluation","Sustainable Cities and Society","2017-10-13"
"Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","Q13442814","Rehan Sadiq","10.1016/j.conbuildmat.2010.11.041","Sustainability assessment of flooring systems in the city of Tehran: An AHP-based life cycle analysis","Construction and Building Materials","2010-12-23"
"Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2016.06.002","Sustainability assessment of roadway projects under uncertainty using Green Proforma: An index-based approach","International Journal of Sustainable Built Environment","2016-07-02"
"Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1007/s10098-016-1198-8","Sustainability evaluation framework for building cooling systems: a comparative study of snow storage and conventional chiller systems","Clean Technologies and Environmental Policy","2016-05-10"
"Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","Q13442814","Rehan Sadiq","10.1007/s11269-015-0982-2","Sustainability evaluation of surface water quality management options in developing countries: multicriteria analysis using fuzzy UTASTAR method","Water Resources Management","2015-04-06"
"Sustainability in mining, minerals and energy: new processes, pathways and human interactions for a cautiously optimistic future","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.09.016","Sustainability in mining, minerals and energy: new processes, pathways and human interactions for a cautiously optimistic future","Journal of Cleaner Production","2014-10-14"
"Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","Q13442814","Rehan Sadiq","10.1080/2093761x.2014.923794","Sustainability performance assessment of green roof systems using fuzzy-analytical hierarchy process (FAHP)","International Journal of Sustainable Building Technology and Urban Development","2014-08-13"
"Sustainable water management by coupling human and engineered systems","Q13442814","Nadja Kunz","10.2495/wrm150041","Sustainable water management by coupling human and engineered systems","Water Resources Management VIII","2015-05-22"
"Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Q13442814","Rehan Sadiq","10.1139/er-2020-0090","Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Environmental Reviews","2021-03-15"
"Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent","Q13442814","Madjid Mohseni","10.1016/j.molcata.2005.07.038","Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent","Journal of Molecular Catalysis A: Chemical","2005-09-07"
"Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts","Q13442814","Madjid Mohseni","10.1515/ijcre-2012-0054","Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts","International Journal of Chemical Reactor Engineering","2013-08-14"
"Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling","Q13442814","Madjid Mohseni","10.3390/en9020079","Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling","Energies","2016-01-28"
"TARGETED RESEQUENCING OF WETLAND SEDIMENT AS A TOOL FOR AVIAN INFLUENZA VIRUS SURVEILLANCE","Q13442814","Natalie Prystajecky","10.7589/2019-05-135","TARGETED RESEQUENCING OF WETLAND SEDIMENT AS A TOOL FOR AVIAN INFLUENZA VIRUS SURVEILLANCE","Journal of Wildlife Diseases","2019-12-05"
"Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","Q13442814","Rehan Sadiq","10.1016/j.coldregions.2016.07.004","Techno-economic performance evaluation of building cooling systems: A study of snow storage and conventional chiller systems","Cold Regions Science and Technology","2016-07-23"
"Temperature dependence of 185 nm photochemical water treatment–The photolysis of water","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2017.12.030","Temperature dependence of 185 nm photochemical water treatment–The photolysis of water","Journal of Photochemistry and Photobiology A: Chemistry","2017-12-21"
"Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Q13442814","Madjid Mohseni","10.1039/c8ew00302e","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Environmental Science: Water Research & Technology","2018-06-15"
"Temperature sensitivity indicates that chlorination of organic matter in forest soil is primarily biotic","Q13442814","Gunilla Öberg","10.1021/es8035779","Temperature sensitivity indicates that chlorination of organic matter in forest soil is primarily biotic","Environmental Science & Technology","2009-04-01"
"Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil","Q13442814","Mark Johnson","10.1080/03680770.1995.11900941","Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil","SIL Proceedings, 1922-2010","2017-12-01"
"Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study","Q13442814","Marwan Hassan","10.1002/2015wr016929","Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study","Water Resources Research","2015-11-18"
"Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis","Q13442814","Mark Johnson","10.2136/sssaj2012.0039","Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis","Soil Science Society of America Journal","2012-09-12"
"Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity","Q13442814","Q56794616","10.1093/biosci/bix078","Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity","BioScience","2017-06-16"
"The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment","Q13442814","Jordi Honey-Rosés","10.1177/0013916520953147","The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment","Environment and Behavior","2020-08-29"
"The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter","Q13442814","Madjid Mohseni","10.1021/es071602m","The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter","Environmental Science & Technology","2007-11-13"
"The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths","Q13442814","Madjid Mohseni","10.1007/978-94-017-0641-4_24","The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths","Advances in Bioprocess Engineering","2013-06-20"
"The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","Q13442814","Leila M. Harris","10.3390/w11050886","The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","Water","2019-04-29"
"The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Q13442814","Q57582079","10.1002/hyp.14112","The Maimai M8 experimental catchment database: Forty years of process‐based research on steep, wet hillslopes","Hydrological Processes","2021-02-27"
"The Randolph Glacier Inventory: a globally complete inventory of glaciers","Q13442814","Valentina Radić","10.3189/2014jog13j176","The Randolph Glacier Inventory: a globally complete inventory of glaciers","Journal of Glaciology","2014-05-06"
"The antinomies of nature and space","Q13442814","Leila M. Harris","10.1177/2514848618777162","The antinomies of nature and space","Environment and Planning E: Nature and Space","2018-05-30"
"The biogeochemistry of chlorine in soil","Q13442814","Gunilla Öberg","10.1007/b10447","The biogeochemistry of chlorine in soil","The Handbook of Environmental Chemistry","2006-03-01"
"The cultural, economic, and health implications of water sharing","Q13442814","Leila M. Harris","10.21203/rs.2.15147/v1","The cultural, economic, and health implications of water sharing","Research Square","2019-09-20"
"The effect of concentration factor on membrane fouling","Q13442814","Pierre Bérubé","10.3390/membranes7030050","The effect of concentration factor on membrane fouling","Membranes","2017-09-01"
"The effect of episodic sediment supply on bedload variability and sediment mobility","Q13442814","Marwan Hassan","10.1029/2017wr022280","The effect of episodic sediment supply on bedload variability and sediment mobility","Water Resources Research","2018-08-30"
"The effect of hydraulic regime on vertical sorting in gravel-bed rivers","Q13442814","Marwan Hassan","10.1029/2005wr004707","The effect of hydraulic regime on vertical sorting in gravel-bed rivers","Water Resources Research","2006-09-13"
"The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.1016/j.memsci.2005.07.006","The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system","Journal of Membrane Science","2005-08-31"
"The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions","Q13442814","Madjid Mohseni","10.1002/bit.260480312","The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions","Biotechnology and Bioengineering","2004-12-30"
"The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river","Q13442814","Q56794616","10.1139/z83-325","The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river","Canadian Journal of Zoology","2010-01-07"
"The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Q13442814","Marwan Hassan","10.1002/hyp.10155","The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Hydrological Processes","2014-01-16"
"The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Q13442814","Q57582079","10.1002/hyp.10777","The exponential decline in saturated hydraulic conductivity with depth: a novel method for exploring its effect on water flow paths and transit time distribution","Hydrological Processes","2015-12-22"
"The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water","Q13442814","Madjid Mohseni","10.1680/jees.2013.0004","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water","Journal of Environmental Engineering and Science","2013-11-07"
"The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science.","Q13442814","Madjid Mohseni","10.1139/s08-045","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science.","Canadian Journal of Civil Engineering","2009-01-26"
"The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities","Q13442814","Jordi Honey-Rosés","10.1080/23748834.2020.1780074","The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities","Cities & Health","2020-07-31"
"The impact of chloride and chlorine radical on nitrite formation during vacuum UV photolysis of water","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2020.143325","The impact of chloride and chlorine radical on nitrite formation during vacuum UV photolysis of water","Science of The Total Environment","2020-11-05"
"The impact of loading approach and biological activity on NOM removal by ion exchange resins","Q13442814","Pierre Bérubé","10.1016/j.watres.2018.01.052","The impact of loading approach and biological activity on NOM removal by ion exchange resins","Water Research","2018-02-20"
"The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada","Q13442814","Marwan Hassan","10.1002/2016wr020288","The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada","Water Resources Research","2017-09-25"
"The impacts of decision uncertainty on municipal solid waste management","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2017.03.079","The impacts of decision uncertainty on municipal solid waste management","Journal of Environmental Management","2017-05-03"
"The importance of fluid dynamics for MBR fouling mitigation","Q13442814","Pierre Bérubé","10.1016/j.biortech.2012.05.069","The importance of fluid dynamics for MBR fouling mitigation","Bioresource Technology","2012-05-23"
"The importance of geology when estimating catchment-scale streamflow characteristics: Application of a new technique for hydrologic similarity and regionalization","Q13442814","Q57582079","10.5194/egusphere-egu21-13979","The importance of geology when estimating catchment-scale streamflow characteristics: Application of a new technique for hydrologic similarity and regionalization","Copernicus GmbH","2021-03-04"
"The influence of artificial light on stream and riparian ecosystems: questions, challenges, and perspectives","Q13442814","Q56794616","10.1890/es11-00241.1","The influence of artificial light on stream and riparian ecosystems: questions, challenges, and perspectives","Ecosphere","2011-11-16"
"The influence of channel morphology on bedload path lengths: Insights from a survival process model","Q13442814","Marwan Hassan","10.1002/esp.4946","The influence of channel morphology on bedload path lengths: Insights from a survival process model","Earth Surface Processes and Landforms","2020-07-04"
"The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/esp.3290150807","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers","Earth Surface Processes and Landforms","2007-02-03"
"The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply","Q13442814","Marwan Hassan","10.1002/esp.3290170512","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply","Earth Surface Processes and Landforms","2007-02-03"
"The insignificance of thresholds in environmental impact assessment: An illustrative case study in Canada","Q13442814","Alice Guimaraes","10.1007/s00267-018-1025-6","The insignificance of thresholds in environmental impact assessment: An illustrative case study in Canada","Environmental Management","2018-03-19"
"The multimillennial sea-level commitment of global warming","Q13442814","Valentina Radić","10.1073/pnas.1219414110","The multimillennial sea-level commitment of global warming","Proceedings of the National Academy of Sciences","2013-07-16"
"The natural chlorine cycle–fitting the scattered pieces","Q13442814","Gunilla Öberg","10.1007/s00253-001-0895-2","The natural chlorine cycle–fitting the scattered pieces","Applied Microbiology and Biotechnology","2003-02-13"
"The nexus of climate change and increasing demand for energy: a policy deliberation from the Canadian context","Q13442814","Rehan Sadiq","10.1007/978-3-030-43578-3_13","The nexus of climate change and increasing demand for energy: a policy deliberation from the Canadian context","Dynamics of Energy, Environment and Economy","2020-07-02"
"The notion of sewage as waste: a study of infrastructure change and institutional inertia in Buenos Aires, Argentina and Vancouver, Canada","Q13442814","Gunilla Öberg","10.5751/es-06531-190219","The notion of sewage as waste: a study of infrastructure change and institutional inertia in Buenos Aires, Argentina and Vancouver, Canada","Ecology and Society","2014-04-24"
"The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions","Q13442814","Marwan Hassan","10.1029/2018wr022982","The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions","Water Resources Research","2018-07-07"
"The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","Q13442814","Valentina Radić","10.1002/2016gl072394","The projected demise of Barnes Ice Cap: evidence of an unusually warm 21st century Arctic","Geophysical Research Letters","2017-03-20"
"The relative stability of salmon redds and unspawned streambeds","Q13442814","Marwan Hassan","10.1002/2015wr016908","The relative stability of salmon redds and unspawned streambeds","Water Resources Research","2015-07-14"
"The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream","Q13442814","Marwan Hassan","10.1002/esp.3980","The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream","Earth Surface Processes and Landforms","2016-05-26"
"The role of hydrophobic properties in ion exchange removal of organic compounds from water","Q13442814","Madjid Mohseni","10.1002/cjce.22823","The role of hydrophobic properties in ion exchange removal of organic compounds from water","The Canadian Journal of Chemical Engineering","2017-03-03"
"The role of institutional mining investors in driving responsible tailings management","Q13442814","Nadja Kunz","10.1016/j.exis.2020.10.014","The role of institutional mining investors in driving responsible tailings management","The Extractive Industries and Society","2020-11-07"
"The role of organic-matter-bound chlorine in the chlorine cycle: a case study of the Stubbetorp catchment, Sweden","Q13442814","Gunilla Öberg","10.1007/s10533-004-7259-9","The role of organic-matter-bound chlorine in the chlorine cycle: a case study of the Stubbetorp catchment, Sweden","Biogeochemistry","2005-11-04"
"The role of rivers in the regional carbon balance","Q13442814","Mark Johnson","10.1029/2008gm000734","The role of rivers in the regional carbon balance","Amazonia and Global Change","2011-09-09"
"The role of stoneflies in enhancing growth of trout: a test of the importance of predator-predator facilitation within a stream community","Q13442814","Q56794616","10.2307/3546588","The role of stoneflies in enhancing growth of trout: a test of the importance of predator-predator facilitation within a stream community","Oikos","2006-11-16"
"The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.4324/9780429354427-3","The rural–urban equity nexus of Metro Manila’s water system","Rural–Urban Water Struggles","2020-06-18"
"The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.1080/02508060.2019.1560559","The rural–urban equity nexus of Metro Manila’s water system","Water International","2019-04-15"
"The sustainability agenda of the minerals and energy supply and demand network: an integrative analysis of ecological, ethical, economic, and technological dimensions","Q13442814","Nadja Kunz","10.1016/j.jclepro.2012.09.038","The sustainability agenda of the minerals and energy supply and demand network: an integrative analysis of ecological, ethical, economic, and technological dimensions","Journal of Cleaner Production","2012-11-07"
"The transport of gravel in an ephemeral sandbed river","Q13442814","Marwan Hassan","10.1002/(sici)1096-9837(199907)24:7<623::aid-esp978>3.0.co;2-2","The transport of gravel in an ephemeral sandbed river","Earth Surface Processes and Landforms","2002-09-10"
"The treatment of waste air containing phenol vapors in biotrickling filter","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2008.05.040","The treatment of waste air containing phenol vapors in biotrickling filter","Chemosphere","2008-07-15"
"The utility of a systems approach for managing strategic water risks at a mine site level","Q13442814","Nadja Kunz","10.1016/j.wri.2016.02.001","The utility of a systems approach for managing strategic water risks at a mine site level","Water Resources and Industry","2016-02-04"
"The viscoelastic nature of filamentous fermentation broths and its influence on the directly measured yield stress","Q13442814","Madjid Mohseni","10.1016/s0922-338x(97)80993-2","The viscoelastic nature of filamentous fermentation broths and its influence on the directly measured yield stress","Journal of Fermentation and Bioengineering","2002-07-26"
"Theorizing gender, ethnic difference, and inequality in relation to water access and politics in southeastern Turkey","Q13442814","Leila M. Harris","10.4324/9781315717432-18","Theorizing gender, ethnic difference, and inequality in relation to water access and politics in southeastern Turkey","The Politics of Fresh Water","2020-12-25"
"Three-dimensional resolution of bedload transport with binocular computer vision","Q13442814","Marwan Hassan","10.21203/rs.3.rs-19923/v1","Three-dimensional resolution of bedload transport with binocular computer vision","Research Square","2020-04-02"
"To retrofit or not? Making energy retrofit decisions through life cycle thinking for Canadian residences","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2020.110393","To retrofit or not? Making energy retrofit decisions through life cycle thinking for Canadian residences","Energy and Buildings","2020-08-12"
"Too small to be viable? The potential market for small modular reactors in mining and remote communities in Canada","Q13442814","Nadja Kunz","10.1016/j.enpol.2020.111587","Too small to be viable? The potential market for small modular reactors in mining and remote communities in Canada","Energy Policy","2020-06-23"
"Topological vulnerability evaluation model based on fractal dimension of complex networks","Q13442814","Rehan Sadiq","10.1371/journal.pone.0146896","Topological vulnerability evaluation model based on fractal dimension of complex networks","PLOS ONE","2016-01-11"
"Total utility of Z-number","Q13442814","Rehan Sadiq","10.1007/s10489-017-1001-5","Total utility of Z-number","Applied Intelligence","2017-07-26"
