"Len","P31","P50","P356","P1476"
"Riparian canopy type and management history control forest-to-stream plant litter fluxes","Q13442814","Q56794616","10.1139/x11-067","Riparian canopy type and management history control forest-to-stream plant litter fluxes"
"Riparian forest harvesting and its influence on benthic communities of small streams of sub-boreal British Columbia","Q13442814","Q56794616","10.1139/x06-286","Riparian forest harvesting and its influence on benthic communities of small streams of sub-boreal British Columbia"
"Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis","Q13442814","Rehan Sadiq","10.1016/j.jlp.2011.12.007","Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis"
"Risk analysis for water quality deterioration in distribution networks","Q13442814","Rehan Sadiq","10.1061/40507(282)15","Risk analysis for water quality deterioration in distribution networks"
"Risk analysis in a linguistic environment: a fuzzy evidential reasoning-based approach","Q13442814","Rehan Sadiq","10.1016/j.eswa.2011.06.018","Risk analysis in a linguistic environment: a fuzzy evidential reasoning-based approach"
"Risk and life cycle cost based asset management framework for aging water supply system","Q13442814","Rehan Sadiq","10.4324/9781315142074-16","Risk and life cycle cost based asset management framework for aging water supply system"
"Risk management of large-diameter water transmission mains","Q13442814","Rehan Sadiq","10.1061/40800(180)20","Risk management of large-diameter water transmission mains"
"Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities","Q13442814","Rehan Sadiq","10.1061/(asce)me.1943-5479.0000435","Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities"
"Risk-based decision-making for drilling waste discharges using a fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.1016/j.oceaneng.2004.05.001","Risk-based decision-making for drilling waste discharges using a fuzzy synthetic evaluation technique"
"Risk-based environmental decision-making using fuzzy analytic hierarchy process (F-AHP)","Q13442814","Rehan Sadiq","10.1007/s00477-006-0042-9","Risk-based environmental decision-making using fuzzy analytic hierarchy process (F-AHP)"
"Risk-based framework for optimizing residual chlorine in large water distribution systems","Q13442814","Rehan Sadiq","10.1007/s10661-017-5989-0","Risk-based framework for optimizing residual chlorine in large water distribution systems"
"Risk-based prioritization of air pollution monitoring using fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.1007/s10661-005-3852-1","Risk-based prioritization of air pollution monitoring using fuzzy synthetic evaluation technique"
"Risk-based prioritization of water main failure using fuzzy synthetic evaluation technique","Q13442814","Rehan Sadiq","10.2166/aqua.2015.051","Risk-based prioritization of water main failure using fuzzy synthetic evaluation technique"
"Risk-based process safety assessment and control measures design for offshore process facilities","Q13442814","Rehan Sadiq","10.1016/s0304-3894(02)00004-3","Risk-based process safety assessment and control measures design for offshore process facilities"
"Risk-sensitive foraging by juvenile signal crayfish (Pacifastacus leniusculus)","Q13442814","Q56794616","10.1139/z06-161","Risk-sensitive foraging by juvenile signal crayfish (Pacifastacus leniusculus)"
"River Restoration Design Framework","Q13442814","Marwan Hassan","10.31223/osf.io/eus6c","River Restoration Design Framework"
"River restoration","Q13442814","Marwan Hassan","10.4016/10452.01","River restoration"
"Role of pressure in organic fouling in forward osmosis and reverse osmosis","Q13442814","Jongho Lee","10.1016/j.memsci.2015.07.033","Role of pressure in organic fouling in forward osmosis and reverse osmosis"
"Role of solution concentration, cement alkali and test duration on expansion of accelerated mortar bar test (AMBT)","Q13442814","Rehan Sadiq","10.1617/s11527-015-0626-2","Role of solution concentration, cement alkali and test duration on expansion of accelerated mortar bar test (AMBT)"
"Roles of various mixed liquor constituents in membrane filtration of activated sludge","Q13442814","Pierre Bérubé","10.5004/dwt.2009.108","Roles of various mixed liquor constituents in membrane filtration of activated sludge"
"Rough Correlations: Meta‐Analysis of Roughness Measures in Gravel Bed Rivers","Q13442814","Marwan Hassan","10.1029/2020wr027079","Rough Correlations: Meta‐Analysis of Roughness Measures in Gravel Bed Rivers"
"Rule compliance and desire lines in Barcelona’s cycling network","Q13442814","Jordi Honey-Rosés","10.1080/19427867.2020.1803542","Rule compliance and desire lines in Barcelona’s cycling network"
"Runoff sources and land cover change in the Amazon: an end-member mixing analysis from small watersheds","Q13442814","Mark Johnson","10.1007/s10533-011-9597-8","Runoff sources and land cover change in the Amazon: an end-member mixing analysis from small watersheds"
"Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583311","Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities"
"SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Q13442814","Annegaaike Leopold","10.1002/ieam.4385","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS"
"SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS","Q13442814","Gunilla Öberg","10.1002/ieam.4385","SCIENCE, CONSENSUS, AND ENDOCRINE‐DISRUPTING CHEMICALS: RETHINKING DISAGREEMENT IN EXPERT DELIBERATIONS"
"SEDIMENT TRANSPORT AND CHANNEL MORPHOLOGY OF SMALL, FORESTED STREAMS1","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb03774.x","SEDIMENT TRANSPORT AND CHANNEL MORPHOLOGY OF SMALL, FORESTED STREAMS1"
"SEM imaging of membranes: Importance of sample preparation and imaging parameters","Q13442814","Pierre Bérubé","10.1016/j.memsci.2014.03.048","SEM imaging of membranes: Importance of sample preparation and imaging parameters"
"SIMULATION OF IMMOBILIZED PHOTOCATALYTIC REACTORS USING CFD","Q13442814","Madjid Mohseni","10.1021/ie101736d","SIMULATION OF IMMOBILIZED PHOTOCATALYTIC REACTORS USING CFD"
"SPATIAL AND TEMPORAL DYNAMICS OF WOOD IN HEADWATER STREAMS OF THE PACIFIC NORTHWEST1","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb04469.x","SPATIAL AND TEMPORAL DYNAMICS OF WOOD IN HEADWATER STREAMS OF THE PACIFIC NORTHWEST1"
"SUSPENDED SEDIMENT DYNAMICS IN SMALL FOREST STREAMS OF THE PACIFIC NORTHWEST1","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb03775.x","SUSPENDED SEDIMENT DYNAMICS IN SMALL FOREST STREAMS OF THE PACIFIC NORTHWEST1"
"SUSPENDED SEDIMENT DYNAMICS IN SMALL, FOREST","Q13442814","Marwan Hassan","10.1007/springerreference_225999","SUSPENDED SEDIMENT DYNAMICS IN SMALL, FOREST"
"Salmon as geomorphic agents and ecosystem engineers in gravel-bed rivers: the effect of fish and floods on sediment mobility and habitat suitability","Q13442814","Marwan Hassan","10.1029/2010gm000968","Salmon as geomorphic agents and ecosystem engineers in gravel-bed rivers: the effect of fish and floods on sediment mobility and habitat suitability"
"Salmon-driven bedload transport in small streams","Q13442814","Marwan Hassan","10.1029/2010gl046558","Salmon-driven bedload transport in small streams"
"Sampling variability in estimates of flow characteristics in coarse‐bed channels: Effects of sample size","Q13442814","Marwan Hassan","10.1002/2015wr017259","Sampling variability in estimates of flow characteristics in coarse‐bed channels: Effects of sample size"
"Scale‐dependent interactions between wood and channel dynamics: Modeling jam formation and sediment storage in gravel‐bed streams","Q13442814","Marwan Hassan","10.1002/2013jf002917","Scale‐dependent interactions between wood and channel dynamics: Modeling jam formation and sediment storage in gravel‐bed streams"
"Scenario-based economic and environmental analysis of clean energy incentives for households in Canada: multi criteria decision making approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.07.014","Scenario-based economic and environmental analysis of clean energy incentives for households in Canada: multi criteria decision making approach"
"Science Is Political But Should Not Be Partisan","Q13442814","Annegaaike Leopold","10.1002/ieam.4229","Science Is Political But Should Not Be Partisan"
"Science Is Political But Should Not Be Partisan","Q13442814","Gunilla Öberg","10.1002/ieam.4229","Science Is Political But Should Not Be Partisan"
"Science for Policy: A Case Study of Scientific Polarization, Values, and the Framing of Risk and Uncertainty","Q13442814","Gunilla Öberg","10.1111/risa.13248","Science for Policy: A Case Study of Scientific Polarization, Values, and the Framing of Risk and Uncertainty"
"Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.7287/peerj.preprints.27409v1","Scientific shortcomings in environmental impact statements internationally"
"Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.7287/peerj.preprints.27409","Scientific shortcomings in environmental impact statements internationally"
"Scientific shortcomings in environmental impact statements internationally","Q13442814","Alice Guimaraes","10.1002/pan3.10081","Scientific shortcomings in environmental impact statements internationally"
"Scour, fill, and burial depth of coarse material in gravel bed streams","Q13442814","Marwan Hassan","10.1002/esp.3290150405","Scour, fill, and burial depth of coarse material in gravel bed streams"
"Seasonal Changes of Benthic Macroinvertebrate Communites in Southwestern British Columbia","Q13442814","Q56794616","10.1007/s10750-013-1573-y","Seasonal Changes of Benthic Macroinvertebrate Communites in Southwestern British Columbia"
"Seasonal and spatial variations of source and drinking water quality in small municipal systems of two Canadian regions","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.11.069","Seasonal and spatial variations of source and drinking water quality in small municipal systems of two Canadian regions"
"Seasonal food limitation of detritivorous insects in a montane stream","Q13442814","Q56794616","10.2307/1940589","Seasonal food limitation of detritivorous insects in a montane stream"
"Sediment Transport Dynamics-Editorial","Q13442814","Marwan Hassan","10.1017/9781108164108.005","Sediment Transport Dynamics-Editorial"
"Sediment Transport Dynamics-Pore-Water Pressure Effects on the Detachment of Cohesive Streambeds: Seepage Forces and Matric Suction","Q13442814","Marwan Hassan","10.1002/esp.287","Sediment Transport Dynamics-Pore-Water Pressure Effects on the Detachment of Cohesive Streambeds: Seepage Forces and Matric Suction"
"Sediment Transport and Channel Morphology Implications for Fish Habitat","Q13442814","Marwan Hassan","10.1201/9781315120584-17","Sediment Transport and Channel Morphology Implications for Fish Habitat"
"Sediment addition reduces the importance of predation on ecosystem functions in experimental stream channels","Q13442814","Q56794616","10.1139/cjfas-2015-0530","Sediment addition reduces the importance of predation on ecosystem functions in experimental stream channels"
"Sediment mobility in fish bearing streams: the influence of floods and spawning salmon","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2004.tb01068.x","Sediment mobility in fish bearing streams: the influence of floods and spawning salmon"
"Sediment residence time distributions: Theory and application from bed elevation measurements","Q13442814","Marwan Hassan","10.1002/jgrf.20151","Sediment residence time distributions: Theory and application from bed elevation measurements"
"Sediment storage, partial transport, and the evolution of an experimental gravel bed under changing sediment supply regimes","Q13442814","Marwan Hassan","10.1016/j.geomorph.2018.12.018","Sediment storage, partial transport, and the evolution of an experimental gravel bed under changing sediment supply regimes"
"Sediment transport and Channe l Morphology","Q13442814","Marwan Hassan","10.3990/1.9789036538886","Sediment transport and Channe l Morphology"
"Sediment transport at low rate in gravel-bed rivers","Q13442814","Marwan Hassan","10.1007/978-94-017-0347-5_36","Sediment transport at low rate in gravel-bed rivers"
"Seeking realistic membrane ageing at bench-scale","Q13442814","Pierre Bérubé","10.1016/j.memsci.2020.118606","Seeking realistic membrane ageing at bench-scale"
"Seismic induced damageability evaluation of steel buildings: A Fuzzy-TOPSIS method","Q13442814","Rehan Sadiq","10.12989/eas.2012.3.5.695","Seismic induced damageability evaluation of steel buildings: A Fuzzy-TOPSIS method"
"Selecting Sustainability Indicators for Small to Medium Sized Urban Water Systems Using Fuzzy‐ELECTRE","Q13442814","Rehan Sadiq","10.2175/106143016x14798353399494","Selecting Sustainability Indicators for Small to Medium Sized Urban Water Systems Using Fuzzy‐ELECTRE"
"Selecting performance indicators for small and medium sized water utilities: Multi-criteria analysis using ELECTRE method","Q13442814","Rehan Sadiq","10.1080/1573062x.2014.900089","Selecting performance indicators for small and medium sized water utilities: Multi-criteria analysis using ELECTRE method"
"Selecting sustainable waste-to-energy technologies for municipal solid waste treatment: a game theory approach for group decision-making","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2015.12.041","Selecting sustainable waste-to-energy technologies for municipal solid waste treatment: a game theory approach for group decision-making"
"Selection of oil spill response method in Arctic offshore waters: A fuzzy decision tree based framework","Q13442814","Rehan Sadiq","10.1016/j.marpolbul.2020.111705","Selection of oil spill response method in Arctic offshore waters: A fuzzy decision tree based framework"
"Selection of remedial alternatives for mine sites: A multicriteria decision analysis approach","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2013.01.024","Selection of remedial alternatives for mine sites: A multicriteria decision analysis approach"
"Selection of sustainable municipal water reuse applications by multi-stakeholders using game theory","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2018.09.359","Selection of sustainable municipal water reuse applications by multi-stakeholders using game theory"
"Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction","Q13442814","Q57582079","10.2166/nh.2017.201","Semi-analytical 3D solution for assessing radial collector well pumping impacts on groundwater–surface water interaction"
"Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction","Q13442814","Q57582079","10.1002/2014wr015394","Semianalytical series solutions for three‐dimensional groundwater‐surface water interaction"
"Sensitivity of stoichiometric ratios in the Mississippi River to hydrologic variability","Q13442814","Marwan Hassan","10.1002/2013jg002585","Sensitivity of stoichiometric ratios in the Mississippi River to hydrologic variability"
"Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers","Q13442814","Q57582079","10.1016/j.advwatres.2013.07.004","Series solutions for saturated–unsaturated flow in multi-layer unconfined aquifers"
"Setting conservation targets for freshwater ecosystems in forested catchments","Q13442814","Q56794616","10.1017/cbo9781139175388.013","Setting conservation targets for freshwater ecosystems in forested catchments"
"Sewerage infrastructure: Fuzzy techniques to manage failures","Q13442814","Rehan Sadiq","10.1007/978-1-4020-6027-4_24","Sewerage infrastructure: Fuzzy techniques to manage failures"
"Sharing the benefits from water as a new approach to regional water targets for mining companies","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.02.053","Sharing the benefits from water as a new approach to regional water targets for mining companies"
"Shoreline vegetation change in upstream and downstream reaches of three temperate streams dammed for hydroelectric generation in British Columbia.","Q13442814","Q56794616","10.1016/j.ecoleng.2008.12.005","Shoreline vegetation change in upstream and downstream reaches of three temperate streams dammed for hydroelectric generation in British Columbia."
"Shredder-collector facilitation in stream detrital food webs: is there enough evidence?","Q13442814","Q56794616","10.2307/3546121","Shredder-collector facilitation in stream detrital food webs: is there enough evidence?"
"Significant total mass contained in small glaciers","Q13442814","Valentina Radić","10.5194/tcd-6-737-2012","Significant total mass contained in small glaciers"
"Simulated wood budgets in two mountain streams","Q13442814","Marwan Hassan","10.1016/j.geomorph.2016.02.010","Simulated wood budgets in two mountain streams"
"Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)","Q13442814","Rehan Sadiq","10.1115/icnmm2012-73216","Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)"
"Simulation of individual particle movement in a gravel streambed","Q13442814","Marwan Hassan","10.1002/esp.305","Simulation of individual particle movement in a gravel streambed"
"Simulation-based localized sensitivity analyses (SaLSA)—An example of water quality failures in distribution networks","Q13442814","Rehan Sadiq","10.1061/40976(316)499","Simulation-based localized sensitivity analyses (SaLSA)—An example of water quality failures in distribution networks"
"Simultaneous Measurements of Soil CO2 and CH4 Fluxes Using Laser Absorption Spectroscopy","Q13442814","Mark Johnson","10.2134/ael2015.12.0014","Simultaneous Measurements of Soil CO2 and CH4 Fluxes Using Laser Absorption Spectroscopy"
"Simultaneous uptake of NOM and Microcystin-LR by anion exchange resins: effect of inorganic ions and resin regeneration","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2017.10.135","Simultaneous uptake of NOM and Microcystin-LR by anion exchange resins: effect of inorganic ions and resin regeneration"
"Size and distance of travel of unconstrained clasts on a streambed","Q13442814","Marwan Hassan","10.1029/91wr02523","Size and distance of travel of unconstrained clasts on a streambed"
"Small drinking water systems under spatiotemporal water quality variability: a risk-based performance benchmarking framework","Q13442814","Rehan Sadiq","10.1007/s10661-017-6176-z","Small drinking water systems under spatiotemporal water quality variability: a risk-based performance benchmarking framework"
"Small stonefly predators affect microbenthic and meiobenthic communities in stream leaf packs","Q13442814","Q56794616","10.1111/fwb.12622","Small stonefly predators affect microbenthic and meiobenthic communities in stream leaf packs"
"Small systems, big challenges: review of small drinking water system governance","Q13442814","Leila M. Harris","10.1139/er-2018-0033","Small systems, big challenges: review of small drinking water system governance"
"Smart city and resilient city: Differences and connections","Q13442814","Rehan Sadiq","10.1002/widm.1388","Smart city and resilient city: Differences and connections"
"Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana","Q13442814","Leila M. Harris","10.1080/09669582.2018.1546711","Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana"
"Social license needs business strategy","Q13442814","Nadja Kunz","10.1016/j.exis.2020.10.007","Social license needs business strategy"
"Social network analysis reveals that communication gaps may prevent effective water management in the mining sector","Q13442814","Nadja Kunz","10.1016/j.jclepro.2017.01.175","Social network analysis reveals that communication gaps may prevent effective water management in the mining sector"
"Socio-environmental consideration of phosphorus flows in the urban sanitation chain of contrasting cities","Q13442814","Gunilla Öberg","10.1007/s10113-017-1257-7","Socio-environmental consideration of phosphorus flows in the urban sanitation chain of contrasting cities"
"Soil CO 2 Dynamics in a Tree Island Soil of the Pantanal: The Role of Soil Water Potential","Q13442814","Mark Johnson","10.1371/journal.pone.0064874","Soil CO 2 Dynamics in a Tree Island Soil of the Pantanal: The Role of Soil Water Potential"
"Soil CO2 concentrations and efflux dynamics of a tree island in the Pantanal wetland","Q13442814","Mark Johnson","10.1002/2017jg003877","Soil CO2 concentrations and efflux dynamics of a tree island in the Pantanal wetland"
"Soil Moisture & Snow Properties Determination with GNSS in Alpine Environments: Challenges, Status, and Perspectives","Q13442814","Steven Weijs","10.3390/rs5073516","Soil Moisture & Snow Properties Determination with GNSS in Alpine Environments: Challenges, Status, and Perspectives"
"Soil peroxidase-mediated chlorination of fulvic acid","Q13442814","Gunilla Öberg","10.1007/bfb0010499","Soil peroxidase-mediated chlorination of fulvic acid"
"Some conceptual and operational considerations when measuring ‘resilience’: a response to Hodgson et al.","Q13442814","Q56794616","10.1016/j.tree.2015.10.005","Some conceptual and operational considerations when measuring ‘resilience’: a response to Hodgson et al."
"Sources of organic halogens in spruce forest soil","Q13442814","Gunilla Öberg","10.1021/es9708225","Sources of organic halogens in spruce forest soil"
"Sources of spurious force oscillations from an immersed boundary method for moving-body problems","Q13442814","Jongho Lee","10.1016/j.jcp.2011.01.004","Sources of spurious force oscillations from an immersed boundary method for moving-body problems"
"Spatial Patterns of Organic Chlorine and Chloride in Farmland and Forest Soil in the Meicun Area, South East China","Q13442814","Gunilla Öberg","10.1016/s0045-6535(03)00193-0","Spatial Patterns of Organic Chlorine and Chloride in Farmland and Forest Soil in the Meicun Area, South East China"
"Spatial and Temporal Patterns of Sediment Transport in a Small Stream","Q13442814","Marwan Hassan","10.1016/j.geomorph.2019.03.018","Spatial and Temporal Patterns of Sediment Transport in a Small Stream"
"Spatial and temporal patterns of sediment storage over 45 years in Carnation Creek, BC, a previously glaciated mountain catchment","Q13442814","Marwan Hassan","10.1002/esp.4595","Spatial and temporal patterns of sediment storage over 45 years in Carnation Creek, BC, a previously glaciated mountain catchment"
"Spatial and temporal variability of soil water repellency of Amazonian pastures","Q13442814","Mark Johnson","10.1071/sr04097","Spatial and temporal variability of soil water repellency of Amazonian pastures"
"Spatial and temporal variation of in‐reach suspended sediment dynamics along the mainstem of Changjiang (Yangtze River), China","Q13442814","Marwan Hassan","10.1029/2010wr009228","Spatial and temporal variation of in‐reach suspended sediment dynamics along the mainstem of Changjiang (Yangtze River), China"
"Spatial and temporal variation of sediment yield in the landscape: Example of Huanghe (Yellow River)","Q13442814","Marwan Hassan","10.1029/2008gl033428","Spatial and temporal variation of sediment yield in the landscape: Example of Huanghe (Yellow River)"
"Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995)1","Q13442814","Q56794616","10.1139/f99-105","Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995)1"
"Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia","Q13442814","Valentina Radić","10.3390/w11040776","Spatial heterogeneity in glacier mass-balance sensitivity across High Mountain Asia"
"Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings","Q13442814","Rehan Sadiq","10.1007/s10098-015-0959-0","Spatial life cycle sustainability assessment: a conceptual framework for net-zero buildings"
"Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream","Q13442814","Marwan Hassan","10.1139/cjfas-2017-0170","Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream"
"Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles","Q13442814","Marwan Hassan","10.1029/2010wr009800","Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles"
"Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system","Q13442814","Mark Johnson","10.1002/2017jg003797","Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system"
"Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2010.10.056","Spatial variations of human health risk associated with exposure to chlorination by-products occurring in drinking water"
"Special Issue"""" Water Governance: Retheorizing Politics","Q13442814","Leila M. Harris","10.3390/books978-3-03921-561-4","Special Issue"""" Water Governance: Retheorizing Politics"
"Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift","Q13442814","Q56794616","10.1111/fwb.12871","Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift"
"Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Q13442814","Mark Johnson","10.1002/essoar.95a79bd46e3a0342.6bebb835b5a94839.1","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment"
"Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest","Q13442814","Q56794616","10.1111/j.1365-2656.2007.01240.x","Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest"
"Stable strategies analysis based on the utility of Z-number in the evolutionary games","Q13442814","Rehan Sadiq","10.1016/j.amc.2017.12.006","Stable strategies analysis based on the utility of Z-number in the evolutionary games"
"Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences","Q13442814","Q56794616","10.1899/12-078.1","Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences"
"Standardizing electrocoagulation reactor design: iron electrodes for NOM removal","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2012.11.075","Standardizing electrocoagulation reactor design: iron electrodes for NOM removal"
"State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","Q13442814","Leila M. Harris","10.1215/1089201x-1545345","State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey"
"State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2019.01.074","State of provincial regulations and guidelines to promote low impact development (LID) alternatives across Canada: Content analysis and comparative assessment"
"States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","Q13442814","Leila M. Harris","10.4000/ejts.4122","States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey"
"Statistical charactersitics of fluvial displacements of individual particles","Q13442814","Marwan Hassan","10.1007/bf01083484","Statistical charactersitics of fluvial displacements of individual particles"
"Statistical significance testing of parallel pilot-scale coagulation optimization study to compare aluminum sulfate and polyaluminum chloride performance","Q13442814","Nicolas Peleato","10.2166/aqua.2014.158","Statistical significance testing of parallel pilot-scale coagulation optimization study to compare aluminum sulfate and polyaluminum chloride performance"
"Step-pool channel features","Q13442814","Marwan Hassan","10.1016/b978-0-12-818234-5.00004-3","Step-pool channel features"
"Step‐pool stability: Testing the jammed state hypothesis","Q13442814","Marwan Hassan","10.1029/2009jf001365","Step‐pool stability: Testing the jammed state hypothesis"
"Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation","Q13442814","Mark Johnson","10.1029/2007wr006359","Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation"
"Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Q13442814","Mark Johnson","10.1175/2012ei000439.1","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation"
"Stream Ecology","Q13442814","Q56794616","10.1201/9781420031676-11","Stream Ecology"
"Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm","Q13442814","Q56794616","10.1002/etc.5620111102","Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm"
"Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient","Q13442814","Mark Johnson","10.1007/s10705-013-9554-0","Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient"
"Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia","Q13442814","Mark Johnson","10.3390/w11020390","Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia"
"Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown","Q13442814","Q56794616","10.1111/fwb.13367","Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown"
"Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer","Q13442814","Pierre Bérubé","10.11120/ened.2007.02010002","Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer"
"Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater","Q13442814","Pierre Bérubé","10.2175/193864710798182060","Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater"
"Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream","Q13442814","Mark Johnson","10.3390/s120403798","Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream"
"Subsea release of oil from a riser: An ecological risk assessment","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2008.01136.x","Subsea release of oil from a riser: An ecological risk assessment"
"Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting.","Q13442814","Mark Johnson","10.5194/bg-14-2799-2017","Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting."
"Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada","Q13442814","Valentina Radić","10.3389/feart.2017.00067","Surface energy balance closure and turbulent flux parameterization on a mid-latitude mountain glacier, purcell mountains, Canada"
"Surface shear stress and membrane fouling when considering natural water matrices","Q13442814","Pierre Bérubé","10.1016/j.desal.2013.09.018","Surface shear stress and membrane fouling when considering natural water matrices"
"Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.seppur.2013.11.003","Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment"
"Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985","Q13442814","Marwan Hassan","10.1002/hyp.7996","Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985"
"Suspended sediment dynamics at high and low flows in an agricultural watershed","Q13442814","Marwan Hassan","10.1002/hyp.6743","Suspended sediment dynamics at high and low flows in an agricultural watershed"
